아이템 명칭,아이템 아이디,뉴클래식,뉴클래식좀비,뉴클래식좀히
듀얼 베레타,1,1,1,1
P228,2,1,1,1
글록 18C,3,1,1,1
데저트 이글 50C,4,1,1,1
파이브-세븐,5,1,1,1
USP45,6,1,1,1
M3,7,1,1,1
XM1014 자동 샷건,8,1,1,1
TMP,9,1,1,1
MAC-10,10,1,1,1
P90,11,1,1,1
MP5,12,1,1,1
UMP45,13,1,1,1
AWP,14,1,1,1
M4A1,15,1,1,1
AUG,16,1,1,1
스카우트,17,1,1,1
SG550 코만도,18,1,1,1
SG552,19,1,1,1
파마스,20,1,1,1
AK-47,21,1,1,1
G3/SG-1,22,1,1,1
갈릴,23,1,1,1
M249,24,1,1,1
야간 투시경,25,1,1,1
연막 수류탄,26,1,1,1
케블러 방탄복,27,1,1,1
케블러 방탄복+헬멧,28,1,1,1
폭탄 해체 키트,29,1,1,1
섬광탄,30,1,1,1
HE 수류탄,31,1,1,1
QBB95,32,1,1,1
SCAR,33,1,1,1
XM-8,34,1,1,1
VSK94,35,1,1,1
K1A,36,1,1,1
MP7A1,37,1,1,1
USAS12,38,1,1,1
SVD,39,1,1,1
SCAR 5.56 리미티드,113,1,1,1
XM-8 카빈 리미티드,114,1,1,1
MG3,148,1,1,1
아나콘다,149,1,1,1
TRG-42,157,1,1,1
헌팅대거,158,1,1,1
AWP RED,159,1,1,1
M249 RED,160,1,1,1
씰 나이프,161,1,1,1
나타 나이프,164,1,1,0
M200,169,1,1,1
AKM 골드에디션,170,1,1,1
M4A1 스코프,171,1,1,1
데저트 이글 50C 골드에디션,172,1,1,0
해머,176,1,1,0
SL8,187,1,1,0
윈체스터 M1887,197,1,1,1
F2000,202,1,1,1
K1A 스페셜 에디션,203,1,1,1
버터플라이 나이프,211,1,1,1
M24 수류탄,212,1,1,1
M134 미니건,213,1,1,0
파편 수류탄,214,1,1,1
화염 수류탄,215,1,1,1
윈체스터 M1887 골드에디션,220,1,1,1
SL8 골드에디션,221,1,0,1
라이트닝 AR-1,222,0,1,1
M24,233,1,1,1
쿠장,237,1,1,1
듀얼 인피니티,242,1,1,0
라이트닝 SMG-1,243,0,1,1
M4A1 골드에디션,244,1,1,1
듀얼 인피니티 커스텀,245,1,1,0
AWP CAMO,246,1,1,1
컴뱃 나이프,248,1,1,0
마스터 컴뱃 나이프,249,1,1,0
QBB95 + 추가 탄창,255,1,1,1
M79 소드오프,261,1,1,0
MP7A1 확장 탄창,262,1,1,1
M134 크리스마스 에디션,267,1,1,0
MG3 크리스마스 에디션,268,1,1,0
듀얼 인피니티 파이널,270,1,1,0
HK23E 경기관총,271,1,1,1
M4A1 드래곤,279,1,1,1
AK47 드래곤,280,1,1,1
드래곤 나이프,281,1,1,1
MP5 타이거,282,1,1,1
크로스보우,283,0,1,0
M14 EBR,304,1,1,1
더블바렐 샷건,307,1,1,0
인피니티 실버,308,1,1,1
톰슨 시카고 골드,309,1,1,0
USAS12 CAMO,310,1,1,1
라이트닝 다오-1,311,0,1,1
라이트닝 배찌-1,312,0,1,1
다오 수류탄,313,0,1,1
인피니티 블랙,320,1,1,1
인피니티 레드,321,1,1,1
크리스 슈퍼V,322,1,1,0
Skull-7,327,0,1,0
라이트닝 BIG-EYE,330,0,1,1
WA2000,337,1,1,1
골드 루거,341,1,1,1
TRG-42 화이트골드,342,1,1,1
TAR-21,343,1,1,1
바렛 M95,344,1,1,0
카타나,345,1,1,1
MP5 골드에디션,346,1,1,0
듀얼 크리스,347,1,1,0
MG3 골드에디션,354,1,1,1
M60E4,355,1,1,1
AN94,356,1,1,1
M16A4,357,1,1,1
스컬 9,363,0,0,0
P90 라팡,364,1,1,1
볼케이노,365,0,0,0
Skull-5,367,0,0,0
톰슨 시카고,370,1,1,1
루거 P08 ,371,1,1,1
MG36,372,1,1,1
블래스터,379,0,1,1
WA2000 골드에디션,380,1,0,1
XM2010,382,1,1,1
SL8 커스텀,383,1,1,0
KSG12,384,1,1,1
AS50,385,1,1,1
샐러맨더,389,0,1,1
은장 루거,395,0,1,0
M134 프레데터,397,1,1,0
라이트닝 SG-1,398,0,1,1
디바인 록,399,1,1,1
StG44,400,1,1,1
드래곤 클로,405,0,1,1
HK23E 골드에디션,406,1,1,1
Skull-1,407,0,1,0
QBZ95B,413,1,1,1
PKM,414,1,1,1
템페스트,415,0,1,0
M79 소드오프 골드,416,1,1,0
AT4CS,417,1,1,0
M14 EBR 골드,420,1,1,1
와일드윙,421,1,1,1
SPAS-12,422,1,1,0
SPAS-12 디럭스,423,1,1,0
M95 크리스마스 에디션,424,1,1,0
Skull-3,427,0,1,0
흑룡포,428,0,0,0
TMP 드래곤,429,1,1,1
SPAS-12 슈페리얼,430,1,1,0
MK48,431,1,1,1
StG44 골드에디션,434,1,1,1
아발란체,435,0,1,0
토마호크,436,1,1,1
스컬 11,437,0,0,0
슈팅 스타?,440,0,1,1
KSG12 골드에디션,441,1,1,1
파커헤일 M82,442,1,1,1
FN FNC,443,1,1,1
L85A2,444,1,1,1
AutoMag V,445,1,1,1
AKM,446,1,1,1
HK416,447,1,1,1
AW50,448,1,1,1
Blaser R93,449,1,1,1
글록 RED,450,1,1,1
USP45 RED,451,1,1,1
XM1014 RED,452,1,1,1
데저트 이글 RED,453,1,1,1
스카우트 RED,454,1,1,1
M249 CAMO,456,1,1,1
에테리얼?,457,0,1,1
라이트닝 AR-2?,458,0,1,1
M32 MGL,463,1,1,1
balrog7?,466,0,1,0
라이트닝 LZ-1?,467,0,1,0
라이트닝 HZ-1?,468,0,1,0
킹코브라,469,1,1,0
듀얼 카타나,480,1,1,0
AS50 핑크 골드,484,1,1,1
M16A1,486,1,1,0
OICW,487,1,1,0
M60E4 골드에디션,488,1,1,1
AK47 RED,491,1,1,0
M4A1 RED,492,1,1,0
UTS-15,493,1,1,1
더블바렐 샷건 골드,496,1,1,1
M249 VETERAN,497,1,1,1
MG36 크리스마스 에디션,503,1,1,1
HK G11,509,1,1,0
UMP45 스네이크,519,1,1,1
사염검?,520,0,1,0
트리플바렐 샷건,523,1,1,0
K3,525,1,1,1
MG36 골드에디션,531,1,1,1
M16A1 VETERAN,539,1,1,0
니들러?,548,0,1,1
킹코브라 골드 에디션,549,1,1,0
AK74U,553,1,1,0
레비아탄,556,1,1,0
AWP-Z?,561,0,1,0
skull8?,562,0,1,0
PSG-1,563,1,1,0
빔 소드?,565,0,1,0
배틀 헌팅대거,566,1,1,0
배틀 갈릴,567,1,1,0
배틀 파마스,568,1,1,0
배틀 QBB95,569,1,1,0
배틀 글록 18C,570,1,1,0
배틀 USP45,571,1,1,0
배틀 MP5,572,1,1,0
skull6,577,0,1,0
택티컬 나이프,579,1,1,0
더블 택티컬 나이프,580,1,1,0
트리플 택티컬 나이프,581,1,1,0
UTS-15 핑크 골드,583,1,1,1
ARX-160,585,1,1,0
janus5?,587,0,1,0
GROZA,588,1,1,0
드릴건?,589,0,1,0
HK G11 골드 에디션,590,1,1,0
윈체스터 M1887 크리스마스 에디션,591,1,1,1
janus7?,595,0,0,0
janus1?,598,0,1,0
PKM 골드에디션,602,1,1,1
M2,608,1,1,1
MP7A1 포니,610,1,1,1
적마부,611,1,1,1
마체테,670,1,1,1
크로우 바,671,1,1,1
클로 해머,672,1,1,1
깨우침의 저팔계 미니건,679,0,1,1
